Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
Guldborgsund;Nystedvej 73;Fuglsang;1983;1868;Hovedbygningen (1868-69 af J.G. Zinn), broen med de to gadelygter, havebroen, pavillonen, herskabsstalden samt de tre mure med porte nord for hovedbygningen. Fredet 1983, udvidet 2006.*
Guldborgsund;Orebygård 5;Orebygård;1985;1870;Hovedbygningen (1870'erne af Ove Petersen med ældre kerne). Fredet 1985.
Guldborgsund;Priorskov 11;Priorskov;1971;1600;Magasinbygningen (1600-tallet). Fredet 1971.
Guldborgsund;Rosenvænget 12;Staldbygning, Nykøbing Slot;1992;1635;Staldbygningen (1635 af Hans II van Steenwinckel). Fredet 1992.
Guldborgsund;Slotsgade 22;Slotsgade 22, Nykøbing;1945;1825;Forhuset (ca. 1825). Fredet 1945.
Guldborgsund;Stovbyvej 19A;Stouby Mølle;1998;1750;Stubmøllen (ca. 1750, flyttet til nuværende placering 1790). Fredet 1998.
Guldborgsund;Strandvejen 20;Røgehuset på Strandvejen 20, Nysted;1983;1871;Røgehuset (1871). Fredet 1983.
Guldborgsund;Torkilstrupvej 10 A;Torkilstrup Mølle;1959;1743;Stubmøllen (1743). Fredet 1959.
Guldborgsund;Torkilstrupvej 16;Torkilstrup Præstegård;1950;1761;Det trelængede anlæg (1761). Fredet 1950.
Guldborgsund;Torvet 9 A;Hotel Sakskøbing;1964;1800;Forhuset og teaterets forbygning mod torvet samt bindingsværkslængen mod Juniorsgade (ca. 1800). Fredet 1964.*
Guldborgsund;Tromnæs Alléen 10;Generalens Lysthus, Tromnæs Skov;1918;1780;Lysthusbygningen (ca. 1780-90 af Andreas Kirkerup). Fredet 1918.
Guldborgsund;Tromnæs Alléen 2 og 2 C-F;Corselitze;1918;1775;Hovedbygningen (1775-77 muligvis af Andreas Kirkerup), hestestalden (1780), kavalerfløjen og dennes sydfløj (begge fra 2. halvdel af 1700-tallet), samt mellembygningen (1830'rne) der forbinder hovedbygningen og kavalerfløjen, iskælderen (1779) og retiradebygningen (ca. 1780). Fredet 1918. Udvidet 1984, 1991 og 2017.*
Guldborgsund;Tunderup Strandvej 1;Karleby Præstegård;1950;1766;Det trelængede bindingsværksanlæg (stuehus antagelig 1766-70, udhus ca. 1740). Fredet 1950.
